model,seq_len,traffic,latency,energy,util_2d,util_1d,
BERT,1K,6845104128,0.02182357659574468,2605413731452.846,0.0766721058359586,0.6133768466876688
BERT,4K,104689827840,0.3379272255319149,41396611486873.29,0.07922461159898736,0.6337968927918989
BERT,16K,1655709892608,5.3618356085106385,661185750924483.6,0.07988951589338528,0.6391161271470822
BERT,64K,26414048870400,85.60936973617021,1.0574332088521342e+16,0.0800574894797477,0.6404599158379816
BERT,256K,422676321533952,1369.8699157787235,1.692011032519408e+17,0.08005047647900439,0.6404038118320351
BERT,1M,6757254866927616,21904.958652459576,2.7854916498260326e+18,0.08009783809203584,0.6407827047362867
TrXL,1K,9126805504,0.029098102127659575,3473884975270.4614,0.0766721058359586,0.6133768466876688
TrXL,4K,139586437120,0.45056963404255324,55195481982497.72,0.07922461159898735,0.6337968927918988
TrXL,16K,2207613190144,7.149114144680851,881581001232644.9,0.07988951589338528,0.6391161271470822
TrXL,64K,35218731827200,114.14582631489361,1.4099109451361788e+16,0.0800574894797477,0.6404599158379816
TrXL,256K,563568428711936,1826.4932210382979,2.3216084135556586e+17,0.0800504764790044,0.6404038118320352
TrXL,1M,9009673155903488,29206.611536612767,3.7139888664347105e+18,0.08009783809203586,0.6407827047362868
T5,1K,4563402752,0.014549051063829787,1736942487635.2307,0.0766721058359586,0.6133768466876688
T5,4K,69793218560,0.22528481702127662,27597740991248.86,0.07922461159898735,0.6337968927918988
T5,16K,1103806595072,3.5745570723404256,440790500616322.44,0.07988951589338528,0.6391161271470822
T5,64K,17609365913600,57.072913157446806,7049554725680894.0,0.0800574894797477,0.6404599158379816
T5,256K,281784214355968,913.2466105191489,1.1280073550129387e+17,0.0800504764790044,0.6404038118320352
T5,1M,4504836577951744,14603.305768306383,1.8569944332173553e+18,0.08009783809203586,0.6407827047362868
XLM,1K,9663676416,0.030348102127659576,5993255450562.789,0.1470281572516575,0.58811262900663
XLM,4K,141733920768,0.45556963404255324,95123733525525.7,0.1567102001007595,0.626840800403038
XLM,16K,2216203124736,7.169114144680851,1518906321674495.5,0.15933328903930624,0.637333156157225
XLM,64K,35253091565568,114.22582631489362,2.429020776144501e+16,0.16000283971104337,0.6400113588441735
XLM,256K,565286415630336,1830.4932210382979,3.953269505371966e+17,0.15975109981216168,0.6390043992486467
XLM,1M,9016545103577088,29222.611536612767,6.322953342410082e+18,0.16010796565157073,0.6404318626062829
