accel,model,PE_dim,traffic,mem_lat,comp_2d_lat,comp_1d_lat,latency,array_2d_area,area
proposal,BERT,16,422264004673536,983.1599999999999,30046.494615421274,30266.668803268087,30266.668803268083,4712617.37472,5441230.48908
proposal,BERT,32,211157772140544,491.64,7511.6236538553185,7566.8813780425535,7566.8813780425535,18850437.49888,20315554.014039997
proposal,BERT,64,105604655874048,245.88,1877.9059134638296,1891.8274331234045,1891.8274331234043,75401685.99552,78369596.31228
proposal,BERT,128,52828097740800,123.0,469.4764783659574,473.01040258723407,473.010402587234,301797241.20064,307907612.38012
proposal,BERT,256,26439818674176,61.56,117.36911959148935,118.2793728,118.2793728,1207951209.6768,1220894441.8412402
proposal,BERT,512,6648609374208,15.48,29.342279897872338,29.58322927659575,29.583229276595745,4834854330.20416,4885081008.9724
proposal,TrXL,16,563018672898048,1310.88,40061.9928205617,40355.55840435745,40355.55840435745,4712617.37472,5441230.48908
proposal,TrXL,32,281543696187392,655.5200000000001,10015.498205140426,10089.175170723405,10089.175170723403,18850437.49888,20315554.014039997
proposal,TrXL,64,140806207832064,327.84,2503.8745512851065,2522.4365774978723,2522.4365774978723,75401685.99552,78369596.31228
proposal,TrXL,128,70437463654400,164.00000000000003,625.9686378212766,630.6805367829787,630.6805367829787,301797241.20064,307907612.38012
proposal,TrXL,256,35253091565568,82.08,156.49215945531915,157.7058304,157.7058304,1207951209.6768,1220894441.8412402
proposal,TrXL,512,8864812498944,20.64,39.12303986382979,39.44430570212766,39.444305702127664,4834854330.20416,4885081008.9724
proposal,T5,16,281509336449024,655.44,20030.99641028085,20177.779202178725,20177.779202178725,4712617.37472,5441230.48908
proposal,T5,32,140771848093696,327.76000000000005,5007.749102570213,5044.587585361703,5044.587585361702,18850437.49888,20315554.014039997
proposal,T5,64,70403103916032,163.92,1251.9372756425532,1261.2182887489362,1261.2182887489362,75401685.99552,78369596.31228
proposal,T5,128,35218731827200,82.00000000000001,312.9843189106383,315.34026839148936,315.34026839148936,301797241.20064,307907612.38012
proposal,T5,256,17626545782784,41.04,78.24607972765958,78.8529152,78.8529152,1207951209.6768,1220894441.8412402
proposal,T5,512,4432406249472,10.32,19.561519931914894,19.72215285106383,19.722152851063832,4834854330.20416,4885081008.9724
proposal,XLM,16,1126037345796096,2621.76,77492.17589378724,77786.88375611916,77786.88375611915,4712617.37472,5490895.623919999
proposal,XLM,32,563087392374784,1311.0400000000002,19373.04397344681,19447.292078297876,19447.292078297873,18850437.49888,20422069.648879997
proposal,XLM,64,281612415664128,655.68,4843.260993361702,4862.108589208511,4862.10858920851,75401685.99552,78538970.94712
proposal,XLM,128,140874927308800,328.00000000000006,1210.8152483404256,1215.669932119149,1215.669932119149,301606615.98208,308047233.53687996
proposal,XLM,256,70506183131136,164.16,302.7038120851064,303.9888754382979,303.9888754382979,1207188708.80256,1220785414.0828004
proposal,XLM,512,17729624997888,41.28,75.6759530212766,76.03291506382979,76.03291506382979,4831804326.7072,4876055847.5922
