model,seq_len,traffic,latency,energy,util_2d,util_1d,QK,AV
BERT,1K,1308622848,0.013386076595744681,2485343541836.59,0.125,1.0,0.0625,0.0625
BERT,4K,21128367461.209305,0.2141772255319149,39767686118770.086,0.125,1.0,0.0625,0.0625
BERT,16K,333222041171.3489,3.4268356085106384,636117220189497.8,0.125,1.0,0.0625,0.0625
BERT,64K,5312225305909.582,54.829369736170214,1.0484918676489974e+16,0.125,1.0,0.0625,0.0625
BERT,256K,435458144206848,1013.8800000000001,1.671229333621923e+17,0.1081575131892733,0.8652601055141864,0.05407875659463665,0.05407875659463665
BERT,1M,6966711832018944,16220.64,2.7526571725053706e+18,0.10816711495708227,0.8653369196566582,0.054083557478541135,0.054083557478541135
TrXL,1K,1744830464,0.017848102127659575,3313791389115.4536,0.125,1.0,0.0625,0.0625
TrXL,4K,28171156614.94574,0.2855696340425532,53023581491693.45,0.125,1.0,0.0625,0.0625
TrXL,16K,444296054895.13184,4.569114144680851,848156293585997.2,0.125,1.0,0.0625,0.0625
TrXL,64K,7082967074546.109,73.10582631489362,1.3979891568653298e+16,0.125,1.0,0.0625,0.0625
TrXL,256K,580610858942464,1351.8400000000001,2.293899481692345e+17,0.1081575131892733,0.8652601055141864,0.05407875659463665,0.05407875659463665
TrXL,1M,9288949109358592,21627.52,3.670209563340495e+18,0.10816711495708226,0.865336919656658,0.05408355747854113,0.05408355747854113
T5,1K,872415232,0.008924051063829787,1656895694557.7268,0.125,1.0,0.0625,0.0625
T5,4K,14085578307.47287,0.1427848170212766,26511790745846.727,0.125,1.0,0.0625,0.0625
T5,16K,222148027447.56592,2.2845570723404256,424078146792998.6,0.125,1.0,0.0625,0.0625
T5,64K,3541483537273.0547,36.55291315744681,6989945784326649.0,0.125,1.0,0.0625,0.0625
T5,256K,290305429471232,675.9200000000001,1.114152889081282e+17,0.1081575131892733,0.8652601055141864,0.05407875659463665,0.05407875659463665
T5,1M,4644474554679296,10813.76,1.8351047816702474e+18,0.10816711495708226,0.865336919656658,0.05408355747854113,0.05408355747854113
XLM,1K,2684354560,0.017848102127659575,5766422067756.503,0.25,1.0,0.125,0.125
XLM,4K,54237627917.03273,0.2855696340425532,92439452690514.44,0.25,1.0,0.125,0.125
XLM,16K,667973563909.8403,4.569114144680851,1472094656033039.0,0.25,1.0,0.125,0.125
XLM,64K,9845122265151.012,73.10582631489362,2.393515168878153e+16,0.25,1.0,0.125,0.125
XLM,256K,598271764463616,1392.96,3.896859482533635e+17,0.2099294346281117,0.8397177385124468,0.10496471731405585,0.10496471731405585
XLM,1M,9570698963976192,22283.52,6.234917224586448e+18,0.20996561064648636,0.8398624425859454,0.10498280532324318,0.10498280532324318
